year,month,day,decimalLatitude,decimalLongitude,individualCount
2024.0,9.0,10.0,43.799443,-110.528083,
2024.0,9.0,22.0,59.755458,-127.408283,
2024.0,9.0,6.0,34.750838,-98.665477,
2024.0,9.0,29.0,44.868385,-110.174799,
2024.0,9.0,13.0,44.63472,-110.447822,
2024.0,9.0,19.0,44.941137,-110.084098,
2024.0,9.0,3.0,44.60732,-110.385345,
2024.0,9.0,28.0,33.354512,-118.433638,
2024.0,9.0,14.0,44.553327,-110.305602,
2024.0,9.0,15.0,34.421068,-101.052482,
2024.0,9.0,15.0,43.732518,-103.413333,
2024.0,9.0,29.0,44.954982,-110.50767,
2024.0,9.0,14.0,44.632371,-110.443382,
2024.0,9.0,26.0,44.886712,-110.143372,
2024.0,9.0,14.0,43.892623,-102.280606,
2024.0,9.0,14.0,44.619333,-110.427355,
2024.0,9.0,23.0,44.942688,-110.449835,
2024.0,9.0,4.0,34.7035,-98.706542,
2024.0,9.0,17.0,44.948909,-110.308869,
2024.0,9.0,23.0,44.857503,-110.410182,
2024.0,9.0,1.0,43.809375,-110.521009,
2024.0,9.0,27.0,44.46022,-110.826787,
2024.0,9.0,11.0,43.73323,-103.355389,
2024.0,9.0,22.0,43.879888,-102.238883,
2024.0,9.0,19.0,44.653068,-110.46169,
2024.0,9.0,27.0,44.6214,-110.435853,
2024.0,9.0,6.0,44.46,-110.83,
2024.0,9.0,20.0,47.340375,-114.241597,
2024.0,9.0,14.0,47.595165,-103.339827,
2024.0,9.0,12.0,44.472315,-110.842007,
2024.0,9.0,2.0,43.732518,-103.413333,
2024.0,9.0,28.0,33.341033,-118.331059,
2024.0,9.0,28.0,53.58788,-112.838059,
2024.0,9.0,21.0,44.913475,-110.392538,
2024.0,9.0,10.0,41.018256,-112.189559,
2024.0,9.0,7.0,53.640927,-112.856922,
2024.0,9.0,25.0,44.611223,-110.402923,
2024.0,9.0,14.0,53.701259,-112.80966,
2024.0,9.0,13.0,44.621085,-110.434593,
2024.0,9.0,27.0,41.047504,-112.234299,
2024.0,9.0,19.0,43.85538,-102.339691,
2024.0,9.0,29.0,41.050281,-112.245055,
2024.0,9.0,24.0,59.376403,-125.97123,
2024.0,9.0,15.0,44.648248,-110.84933,
2024.0,9.0,15.0,44.644875,-110.45807,
2024.0,9.0,11.0,44.925687,-110.317925,
2024.0,9.0,23.0,53.571445,-112.920892,
2024.0,9.0,23.0,44.683733,-110.494038,
2024.0,9.0,12.0,44.475817,-103.426854,
2024.0,9.0,1.0,45.978224,-108.194011,
2024.0,9.0,14.0,44.677366,-110.484886,
2024.0,9.0,10.0,41.016349,-112.189945,
2024.0,9.0,13.0,53.630232,-112.858044,
2024.0,9.0,28.0,33.391901,-118.453052,
2024.0,9.0,27.0,41.052374,-112.244613,
2024.0,9.0,26.0,60.451927,-132.919716,
2024.0,9.0,22.0,44.543033,-110.787299,
2024.0,9.0,20.0,47.363349,-114.250819,
2024.0,9.0,17.0,49.213546,-107.563615,
2024.0,9.0,28.0,33.354289,-118.350676,
2024.0,9.0,29.0,44.954982,-110.50767,
2024.0,9.0,16.0,44.63094,-110.857408,
2024.0,9.0,22.0,44.464786,-110.833114,
2024.0,9.0,8.0,44.889922,-110.227106,
2024.0,9.0,25.0,59.955119,-112.439614,
2024.0,9.0,21.0,44.953598,-110.074781,
2024.0,9.0,8.0,44.852038,-110.177688,
2024.0,9.0,22.0,44.543075,-110.7947,
2024.0,9.0,29.0,38.863503,-99.340713,
2024.0,9.0,13.0,44.634718,-110.447805,
2024.0,9.0,14.0,44.64649,-110.452134,
2024.0,9.0,14.0,44.671697,-110.474028,
2024.0,9.0,22.0,44.683586,-110.493881,
2024.0,9.0,10.0,41.010057,-112.194037,
2024.0,9.0,24.0,50.772022,-100.217994,
2024.0,9.0,26.0,36.378134,-112.125067,
2024.0,9.0,7.0,41.049275,-112.245166,
2024.0,9.0,2.0,39.819941,-104.85149,
2024.0,9.0,11.0,43.73323,-103.355389,
2024.0,9.0,29.0,44.954982,-110.50767,
2024.0,9.0,20.0,43.909383,-102.416142,
